trial_id,w_g,braiding_phase,active_cubes,stability_score,version,timestamp,params
0,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.443443,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.9, 'omega_R': 0.0235}"
1,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.644419,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.84, 'omega_R': 0.0235}"
2,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.718708,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
3,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.715367,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.84, 'omega_R': 0.0235}"
4,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:04.684877,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.023}"
5,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:04.682883,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
6,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.991286,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.88, 'omega_R': 0.0215}"
7,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:05.519569,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 36, 'gauge_strength': 0.9, 'omega_R': 0.022}"
8,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:05.495181,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.023}"
9,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.637655,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 36, 'gauge_strength': 0.84, 'omega_R': 0.023}"
10,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:05.800893,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
11,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.580484,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
12,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.692283,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
13,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.579209,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
14,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:06.815139,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.84, 'omega_R': 0.023}"
15,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.669183,"{'num_layers': 2, 'num_polarities': 24, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.022}"
16,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:06.730279,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
17,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:06.715599,"{'num_layers': 2, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.9, 'omega_R': 0.0225}"
18,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.719576,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 48, 'gauge_strength': 0.9, 'omega_R': 0.0235}"
19,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.715572,"{'num_layers': 2, 'num_polarities': 24, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
20,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:05.562499,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
21,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.604918,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
22,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.718917,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.84, 'omega_R': 0.023}"
23,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:04.692795,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.88, 'omega_R': 0.022}"
24,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:04.682964,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 36, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
25,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.668330,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
26,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:06.727460,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
27,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:04.701798,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.9, 'omega_R': 0.0225}"
28,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:05.516620,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.0235}"
29,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.634222,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
30,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:06.809342,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.023}"
31,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.717517,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.022}"
32,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.648886,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 30, 'gauge_strength': 0.9, 'omega_R': 0.0235}"
33,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.719568,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.0235}"
34,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.740326,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.0235}"
35,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.718474,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
36,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:00.735594,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.88, 'omega_R': 0.0235}"
37,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.056865,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.022}"
38,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.167653,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.84, 'omega_R': 0.022}"
39,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.256951,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.0215}"
40,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.128457,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.9, 'omega_R': 0.0235}"
41,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:57:01.163434,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 30, 'gauge_strength': 0.88, 'omega_R': 0.022}"
42,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.447197,"{'num_layers': 3, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.84, 'omega_R': 0.0225}"
43,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.449524,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
44,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.451960,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.9, 'omega_R': 0.022}"
45,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.454372,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 36, 'gauge_strength': 0.88, 'omega_R': 0.023}"
46,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.456981,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.9, 'omega_R': 0.022}"
47,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.459259,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.84, 'omega_R': 0.0235}"
48,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.461554,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 48, 'gauge_strength': 0.86, 'omega_R': 0.022}"
49,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.463948,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 48, 'gauge_strength': 0.84, 'omega_R': 0.0235}"
50,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.466362,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
51,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.468818,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 30, 'gauge_strength': 0.84, 'omega_R': 0.023}"
52,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.471118,"{'num_layers': 4, 'num_polarities': 12, 'max_facts': 24, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
53,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.476624,"{'num_layers': 4, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.9, 'omega_R': 0.0215}"
54,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.489549,"{'num_layers': 3, 'num_polarities': 18, 'max_facts': 42, 'gauge_strength': 0.84, 'omega_R': 0.0215}"
55,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.503048,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
56,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.512795,"{'num_layers': 2, 'num_polarities': 12, 'max_facts': 30, 'gauge_strength': 0.86, 'omega_R': 0.022}"
57,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.524057,"{'num_layers': 3, 'num_polarities': 12, 'max_facts': 42, 'gauge_strength': 0.88, 'omega_R': 0.0225}"
58,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.528837,"{'num_layers': 4, 'num_polarities': 24, 'max_facts': 42, 'gauge_strength': 0.86, 'omega_R': 0.0225}"
59,111.408,0.8145,8,8.0,v10.8,2026-04-17T03:56:57.532294,"{'num_layers': 2, 'num_polarities': 18, 'max_facts': 36, 'gauge_strength': 0.86, 'omega_R': 0.022}"
